R05大ゾーン,0-9,10-19,20-29,30-39,40-49,50-59,60-74,75-
伊予市1区,1180.0,1370.0,1152.0,1615.0,2072.0,1899.0,3432.0,2795.0
伊予市2区,25.0,65.0,41.0,63.0,85.0,141.0,417.0,490.0
伊予市3区,62.0,112.0,75.0,100.0,148.0,210.0,533.0,596.0
東温市1区,986.0,1159.0,1267.0,1279.0,1608.0,1408.0,2585.0,2063.0
東温市2区,292.0,460.0,351.0,437.0,691.0,636.0,1257.0,1067.0
松前町,1241.0,1360.0,1084.0,1644.0,2067.0,1873.0,3489.0,2918.0
松山市10区,1137.0,1200.0,1334.0,1625.0,1986.0,1758.0,2814.0,2341.0
松山市11区,1219.0,1305.0,1328.0,1793.0,2152.0,2206.0,3005.0,2496.0
松山市12区,284.0,388.0,306.0,367.0,626.0,553.0,1239.0,1105.0
松山市13区,1307.0,1319.0,1308.0,1837.0,2201.0,1899.0,3001.0,2366.0
松山市14区,1646.0,1662.0,1489.0,2024.0,2734.0,2325.0,3508.0,2546.0
松山市15区,2305.0,2473.0,2151.0,3046.0,3978.0,3360.0,4897.0,3754.0
松山市16区,1006.0,965.0,933.0,1297.0,1616.0,1320.0,2106.0,1701.0
松山市17区,970.0,1184.0,967.0,1324.0,1998.0,1841.0,3321.0,2579.0
松山市18区,1232.0,1356.0,1189.0,1615.0,2183.0,1825.0,2883.0,2218.0
松山市19区,884.0,1132.0,944.0,1170.0,1795.0,1551.0,3031.0,1967.0
松山市1区,132.0,130.0,129.0,175.0,312.0,266.0,411.0,326.0
松山市20区,266.0,319.0,299.0,410.0,597.0,708.0,1360.0,1401.0
松山市21区,241.0,288.0,209.0,297.0,425.0,324.0,429.0,394.0
松山市22区,275.0,326.0,189.0,332.0,495.0,443.0,611.0,583.0
松山市23区,33.0,41.0,44.0,65.0,74.0,70.0,75.0,44.0
松山市24区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松山市27区,833.0,1166.0,848.0,1063.0,1625.0,1570.0,3215.0,2976.0
松山市28区,25.0,37.0,24.0,36.0,83.0,127.0,571.0,801.0
松山市2区,149.0,198.0,442.0,398.0,482.0,520.0,689.0,532.0
松山市3区,897.0,1436.0,1925.0,1449.0,2176.0,2020.0,2786.0,2736.0
松山市4区,604.0,665.0,1296.0,1284.0,1416.0,1484.0,2204.0,2006.0
松山市5区,1196.0,1413.0,1916.0,2140.0,2615.0,2425.0,3418.0,2612.0
松山市6区,468.0,603.0,605.0,754.0,1107.0,1089.0,1550.0,1244.0
松山市7区,737.0,1237.0,1945.0,1287.0,1803.0,1755.0,2443.0,1946.0
松山市8区,611.0,675.0,460.0,737.0,1023.0,1029.0,1905.0,1467.0
松山市9区,798.0,864.0,678.0,982.0,1344.0,1307.0,2172.0,2073.0
砥部町1区,726.0,969.0,735.0,967.0,1359.0,1255.0,2543.0,2000.0
砥部町2区,5.0,21.0,11.0,12.0,19.0,25.0,79.0,131.0
