R05大ゾーン,0-9,10-19,20-29,30-39,40-49,50-59,60-74,75-
伊予市1区,1336.0,1398.0,996.0,1475.0,1992.0,1741.0,2958.0,1678.0
伊予市2区,37.0,66.0,57.0,79.0,99.0,140.0,451.0,286.0
伊予市3区,60.0,97.0,73.0,105.0,163.0,191.0,532.0,323.0
東温市1区,1001.0,1056.0,1239.0,1293.0,1586.0,1276.0,2364.0,1315.0
東温市2区,334.0,490.0,390.0,456.0,672.0,606.0,1194.0,650.0
松前町,1269.0,1422.0,1105.0,1537.0,1983.0,1671.0,2979.0,1881.0
松山市10区,1245.0,1222.0,1077.0,1414.0,1821.0,1515.0,2340.0,1380.0
松山市11区,1321.0,1323.0,1188.0,1557.0,1963.0,1830.0,2721.0,1463.0
松山市12区,290.0,416.0,318.0,372.0,605.0,574.0,1160.0,742.0
松山市13区,1451.0,1324.0,1182.0,1639.0,2072.0,1599.0,2434.0,1399.0
松山市14区,1693.0,1798.0,1376.0,1846.0,2552.0,2020.0,2957.0,1610.0
松山市15区,2388.0,2522.0,2028.0,2767.0,3656.0,2875.0,4138.0,2371.0
松山市16区,992.0,1007.0,854.0,1226.0,1623.0,1201.0,1741.0,1170.0
松山市17区,1077.0,1329.0,836.0,1236.0,1867.0,1522.0,2800.0,1537.0
松山市18区,1316.0,1307.0,1196.0,1578.0,1978.0,1638.0,2493.0,1487.0
松山市19区,964.0,1169.0,885.0,1092.0,1698.0,1288.0,2562.0,1271.0
松山市1区,132.0,145.0,93.0,135.0,271.0,223.0,300.0,153.0
松山市20区,261.0,324.0,317.0,375.0,541.0,621.0,1231.0,796.0
松山市21区,251.0,302.0,174.0,287.0,406.0,289.0,418.0,239.0
松山市22区,274.0,316.0,184.0,234.0,430.0,367.0,533.0,283.0
松山市23区,39.0,38.0,47.0,57.0,71.0,58.0,71.0,30.0
松山市24区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松山市27区,843.0,1142.0,808.0,1033.0,1603.0,1398.0,2871.0,1874.0
松山市28区,32.0,45.0,27.0,61.0,123.0,162.0,515.0,508.0
松山市2区,131.0,245.0,396.0,303.0,434.0,445.0,541.0,252.0
松山市3区,973.0,1689.0,2311.0,1227.0,1783.0,1817.0,2452.0,1437.0
松山市4区,596.0,673.0,1025.0,1220.0,1343.0,1249.0,1904.0,1067.0
松山市5区,1291.0,1281.0,1592.0,1935.0,2484.0,2117.0,2862.0,1498.0
松山市6区,488.0,1065.0,597.0,677.0,998.0,941.0,1332.0,666.0
松山市7区,758.0,1373.0,2379.0,1251.0,1601.0,1575.0,2095.0,1014.0
松山市8区,595.0,752.0,366.0,678.0,946.0,886.0,1691.0,888.0
松山市9区,795.0,901.0,617.0,956.0,1271.0,1127.0,1873.0,1291.0
砥部町1区,721.0,927.0,690.0,887.0,1350.0,1074.0,2201.0,1289.0
砥部町2区,15.0,19.0,10.0,10.0,18.0,33.0,90.0,85.0
