出発地大ゾーン,松山市1区,松山市2区,松山市3区,松山市4区,松山市5区,松山市6区,松山市7区,松山市8区,松山市9区,松山市10区,松山市11区,松山市12区,松山市13区,松山市14区,松山市15区,松山市16区,松山市17区,松山市18区,松山市19区,松山市20区,松山市21区,松山市22区,松山市23区,松山市24区,松山市27区,松山市28区,伊予市1区,伊予市2区,伊予市3区,東温市1区,東温市2区,松前町,砥部町1区,砥部町2区,愛媛県,広島県,香川県,徳島県,高知県,その他,無回答
松山市1区,267.0,48.0,67.0,23.0,79.0,67.0,43.0,1.0,7.0,26.0,24.0,7.0,20.0,14.0,25.0,8.0,19.0,21.0,14.0,9.0,0.0,11.0,5.0,2.0,13.0,0.0,6.0,1.0,0.0,20.0,4.0,13.0,7.0,0.0,53.0,2.0,1.0,5.0,4.0,16.0,3.0
松山市2区,79.0,85.0,27.0,13.0,63.0,115.0,36.0,3.0,6.0,8.0,13.0,5.0,15.0,11.0,25.0,13.0,10.0,20.0,9.0,6.0,1.0,6.0,3.0,0.0,12.0,1.0,5.0,1.0,3.0,6.0,0.0,7.0,6.0,0.0,35.0,1.0,4.0,2.0,1.0,13.0,0.0
松山市3区,206.0,51.0,411.0,32.0,79.0,93.0,78.0,17.0,7.0,82.0,49.0,9.0,36.0,29.0,23.0,10.0,18.0,60.0,14.0,8.0,4.0,141.0,3.0,8.0,20.0,0.0,14.0,0.0,3.0,28.0,1.0,34.0,20.0,2.0,79.0,1.0,4.0,0.0,4.0,27.0,1.0
松山市4区,60.0,22.0,62.0,208.0,35.0,17.0,18.0,4.0,12.0,81.0,38.0,6.0,134.0,19.0,20.0,11.0,7.0,13.0,4.0,6.0,10.0,18.0,1.0,6.0,5.0,0.0,10.0,0.0,3.0,24.0,6.0,23.0,9.0,0.0,54.0,0.0,3.0,1.0,2.0,7.0,7.0
松山市5区,211.0,111.0,93.0,38.0,490.0,133.0,45.0,8.0,13.0,27.0,40.0,14.0,87.0,30.0,142.0,69.0,31.0,50.0,20.0,22.0,19.0,13.0,4.0,8.0,15.0,1.0,43.0,3.0,3.0,23.0,3.0,81.0,7.0,1.0,141.0,5.0,7.0,1.0,2.0,17.0,3.0
松山市6区,97.0,71.0,42.0,5.0,71.0,317.0,79.0,2.0,6.0,8.0,21.0,2.0,21.0,14.0,23.0,23.0,25.0,91.0,16.0,15.0,11.0,10.0,3.0,1.0,17.0,0.0,17.0,0.0,1.0,8.0,0.0,25.0,4.0,0.0,84.0,0.0,2.0,4.0,2.0,15.0,1.0
松山市7区,126.0,48.0,96.0,10.0,60.0,155.0,410.0,6.0,5.0,13.0,29.0,9.0,22.0,5.0,26.0,14.0,30.0,137.0,44.0,17.0,8.0,17.0,1.0,3.0,22.0,0.0,8.0,3.0,1.0,18.0,2.0,21.0,4.0,0.0,94.0,0.0,8.0,0.0,4.0,14.0,3.0
松山市8区,19.0,6.0,26.0,10.0,8.0,26.0,11.0,33.0,4.0,24.0,13.0,0.0,10.0,5.0,7.0,2.0,6.0,12.0,3.0,4.0,0.0,26.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,3.0,0.0,16.0,0.0,1.0,2.0,0.0,2.0,0.0
松山市9区,35.0,8.0,17.0,12.0,29.0,18.0,7.0,7.0,269.0,14.0,158.0,13.0,24.0,39.0,10.0,3.0,3.0,3.0,5.0,2.0,5.0,6.0,0.0,2.0,4.0,0.0,12.0,0.0,1.0,234.0,29.0,17.0,8.0,0.0,117.0,2.0,2.0,0.0,1.0,15.0,3.0
松山市10区,66.0,16.0,84.0,68.0,27.0,18.0,18.0,13.0,19.0,276.0,89.0,9.0,41.0,11.0,8.0,8.0,9.0,11.0,6.0,5.0,1.0,33.0,1.0,1.0,8.0,0.0,10.0,2.0,0.0,47.0,7.0,12.0,2.0,0.0,67.0,0.0,0.0,0.0,0.0,4.0,5.0
松山市11区,52.0,21.0,61.0,39.0,47.0,28.0,22.0,2.0,90.0,71.0,499.0,26.0,81.0,60.0,14.0,7.0,12.0,13.0,8.0,4.0,3.0,14.0,2.0,5.0,16.0,1.0,16.0,2.0,6.0,150.0,22.0,29.0,34.0,0.0,98.0,0.0,2.0,1.0,2.0,8.0,9.0
松山市12区,6.0,2.0,6.0,6.0,6.0,5.0,4.0,0.0,3.0,6.0,19.0,29.0,9.0,12.0,6.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,21.0,9.0,9.0,23.0,1.0,26.0,0.0,0.0,0.0,0.0,4.0,0.0
松山市13区,57.0,31.0,63.0,50.0,75.0,28.0,18.0,11.0,16.0,28.0,99.0,22.0,559.0,181.0,36.0,10.0,12.0,15.0,8.0,6.0,7.0,18.0,0.0,2.0,15.0,0.0,44.0,2.0,1.0,44.0,4.0,64.0,22.0,0.0,131.0,0.0,4.0,0.0,3.0,12.0,3.0
松山市14区,84.0,29.0,42.0,27.0,50.0,32.0,22.0,5.0,17.0,15.0,115.0,30.0,297.0,404.0,48.0,7.0,10.0,15.0,24.0,7.0,7.0,13.0,1.0,2.0,9.0,0.0,30.0,1.0,1.0,76.0,8.0,56.0,68.0,0.0,106.0,0.0,1.0,1.0,7.0,27.0,4.0
松山市15区,121.0,66.0,71.0,29.0,225.0,78.0,50.0,10.0,10.0,26.0,34.0,18.0,90.0,87.0,891.0,89.0,38.0,39.0,17.0,21.0,39.0,13.0,4.0,11.0,19.0,1.0,61.0,6.0,9.0,27.0,3.0,195.0,32.0,0.0,141.0,2.0,10.0,0.0,5.0,19.0,0.0
松山市16区,56.0,40.0,40.0,9.0,110.0,63.0,21.0,5.0,4.0,12.0,19.0,10.0,24.0,14.0,65.0,286.0,77.0,27.0,19.0,24.0,38.0,11.0,5.0,11.0,12.0,1.0,13.0,0.0,3.0,9.0,2.0,52.0,8.0,1.0,49.0,3.0,0.0,0.0,0.0,7.0,4.0
松山市17区,58.0,15.0,39.0,4.0,38.0,70.0,50.0,7.0,4.0,5.0,17.0,2.0,8.0,18.0,31.0,35.0,383.0,62.0,38.0,95.0,13.0,3.0,0.0,15.0,9.0,0.0,15.0,3.0,0.0,8.0,2.0,26.0,9.0,0.0,97.0,0.0,2.0,1.0,4.0,5.0,3.0
松山市18区,64.0,37.0,57.0,5.0,50.0,82.0,170.0,4.0,5.0,13.0,22.0,7.0,12.0,13.0,17.0,12.0,49.0,370.0,179.0,24.0,3.0,16.0,0.0,2.0,54.0,0.0,14.0,4.0,3.0,20.0,4.0,32.0,10.0,0.0,98.0,1.0,3.0,3.0,5.0,10.0,5.0
松山市19区,51.0,13.0,45.0,7.0,39.0,45.0,32.0,8.0,5.0,13.0,11.0,2.0,15.0,14.0,18.0,10.0,40.0,200.0,355.0,12.0,1.0,4.0,1.0,9.0,60.0,0.0,14.0,0.0,3.0,10.0,1.0,25.0,4.0,0.0,69.0,0.0,0.0,0.0,3.0,13.0,3.0
松山市20区,27.0,6.0,13.0,0.0,14.0,24.0,16.0,1.0,2.0,4.0,3.0,0.0,4.0,3.0,4.0,10.0,114.0,26.0,13.0,112.0,2.0,7.0,0.0,14.0,11.0,1.0,3.0,1.0,1.0,2.0,5.0,8.0,1.0,0.0,29.0,1.0,1.0,0.0,2.0,2.0,4.0
松山市21区,8.0,6.0,2.0,1.0,14.0,10.0,3.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,37.0,46.0,6.0,8.0,2.0,6.0,23.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,13.0,2.0,0.0,15.0,0.0,1.0,0.0,2.0,7.0,1.0
松山市22区,15.0,8.0,53.0,9.0,8.0,13.0,6.0,4.0,0.0,21.0,10.0,2.0,11.0,1.0,4.0,1.0,3.0,8.0,0.0,3.0,0.0,63.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,1.0,5.0,6.0,0.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0
松山市23区,3.0,3.0,2.0,0.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
松山市24区,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
松山市27区,21.0,25.0,38.0,5.0,10.0,37.0,26.0,4.0,7.0,6.0,12.0,5.0,4.0,0.0,13.0,1.0,19.0,72.0,62.0,20.0,1.0,3.0,0.0,5.0,669.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,2.0,0.0,148.0,2.0,1.0,0.0,1.0,41.0,17.0
松山市28区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0
伊予市1区,38.0,19.0,35.0,13.0,38.0,21.0,6.0,2.0,2.0,5.0,29.0,12.0,39.0,28.0,49.0,11.0,12.0,16.0,6.0,4.0,8.0,4.0,2.0,5.0,7.0,0.0,970.0,15.0,16.0,20.0,11.0,213.0,38.0,0.0,143.0,1.0,1.0,4.0,8.0,7.0,6.0
伊予市2区,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
伊予市3区,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
東温市1区,54.0,16.0,24.0,23.0,21.0,18.0,12.0,2.0,103.0,21.0,108.0,29.0,25.0,39.0,12.0,5.0,12.0,9.0,10.0,6.0,8.0,13.0,0.0,1.0,13.0,0.0,18.0,2.0,0.0,838.0,78.0,33.0,34.0,2.0,141.0,0.0,4.0,0.0,1.0,14.0,8.0
東温市2区,11.0,4.0,3.0,10.0,7.0,3.0,5.0,3.0,15.0,5.0,16.0,8.0,6.0,9.0,2.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,152.0,147.0,6.0,9.0,0.0,55.0,0.0,0.0,1.0,1.0,1.0,5.0
松前町,53.0,17.0,38.0,14.0,64.0,38.0,15.0,2.0,9.0,15.0,31.0,14.0,58.0,50.0,120.0,18.0,11.0,30.0,9.0,9.0,14.0,7.0,1.0,9.0,3.0,0.0,192.0,6.0,12.0,23.0,6.0,917.0,45.0,1.0,151.0,1.0,1.0,1.0,4.0,7.0,13.0
砥部町1区,45.0,11.0,20.0,6.0,26.0,9.0,6.0,2.0,9.0,6.0,46.0,35.0,40.0,73.0,15.0,4.0,3.0,3.0,1.0,1.0,5.0,8.0,0.0,1.0,4.0,0.0,44.0,2.0,1.0,57.0,4.0,47.0,498.0,4.0,92.0,0.0,11.0,3.0,8.0,31.0,9.0
砥部町2区,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
愛媛県,26.0,15.0,9.0,11.0,15.0,29.0,15.0,1.0,5.0,12.0,14.0,5.0,26.0,23.0,19.0,8.0,8.0,13.0,7.0,7.0,6.0,5.0,2.0,4.0,25.0,1.0,33.0,0.0,3.0,23.0,9.0,33.0,16.0,0.0,537.0,0.0,6.0,1.0,2.0,4.0,6.0
広島県,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0
香川県,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,2.0,1.0,0.0
徳島県,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,0.0
高知県,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,36.0,0.0,0.0
その他,3.0,0.0,4.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,434.0,5.0
無回答,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,9.0
